id,url,headline,body,time
1,https://www.bbc.com/news/business-68797651,"Bank of England: 'Serious deficiencies' in economy forecasts, review finds","The Bank of England's economic forecasting system has ""serious deficiencies"" that need to be modernised, according to a review.",3 days ago
2,https://www.bbc.com/worklife/article/20240409-how-much-it-costs-to-attend-coachella,How much it costs to attend Coachella,The annual music festival in the California desert draws thousands of people to see some of the world's biggest acts. Tickets are expensive – but the Coachella experience can be priceless.,3 days ago
3,https://www.bbc.com/news/business-68797646,Motor finance: Firms warned to hold cash back for probe,The UK's financial watchdog has warned motor finance firms to hold back cash for potential payouts as it continues an investigation into the sector.,3 days ago
4,https://www.bbc.com/news/business-68596871,GDP: Economy grew in February increasing hopes UK is out of recession,The UK economy grew slightly in February increasing hopes it is on its way out of recession.,3 days ago
5,https://www.bbc.com/news/business-13200758,"What is GDP, how is it measured and why does it matter?",No body found,3 days ago
6,https://www.bbc.com/news/articles/cyerg64dn97o,Biden urged to ban China-made electric vehicles,"President Joe Biden has been urged to ban imports of Chinese-made electric cars to the US.The chair of the Senate Banking Committee, Senator Sherrod Brown, wrote ""Chinese electric vehicles are an existential threat to the American auto industry"".His comments are the strongest yet by any US lawmaker on the issue, while others have called for steep tariffs to keep Chinese electric vehicles (EV) out of the country.In February, the White House said the US was opening an investigation into whether Chinese cars pose a national security risk.""We cannot allow China to bring its government-backed cheating to the American auto industry"", Senator Brown said in a video on the social media platform X, formerly Twitter. Senator Brown, who is a Democrat from the the car-producing state of Ohio, is seeking to win a fourth term in office in November's election.",3 days ago
7,https://www.bbc.com/news/business-68761255,Even in peaceful countries be ready for a siren blast,"I was halfway through my morning run when I heard it. The sound of the apocalypse. An air raid-style siren, slowly wailing up and down in pitch, was blaring over Belfast at 0830 GMT. I glanced at the sky.",4 days ago
8,https://www.bbc.com/news/business-68787990,Sub-postmistress jailed while pregnant rejects ex-Post Office boss' apology,A former sub-postmistress who was wrongly jailed while she was pregnant has rejected an apology by a former Post Office boss who congratulated the team behind her conviction.,4 days ago
9,https://www.bbc.com/news/business-68790002,Greece offers hotel vouchers to wildfire evacuees,"Holidaymakers who were evacuated from Rhodes last year due to wildfires will be offered vouchers for money off hotel stays, the Greek government has said.",4 days ago
10,https://www.bbc.com/news/business-68786782,Fake UK stamps blamed on Chinese-made counterfeits,"Fake stamps circulating in the UK are originating from China, a senior MP has told the BBC. ",4 days ago
11,https://www.bbc.com/news/business-68675348,UK passport: How much does it cost to get or renew and what is the 10-year rule?,The price of a getting or renewing a UK passport has risen for the second time in 14 months.,4 days ago
12,https://www.bbc.com/news/business-68781482,US inflation jumps as fuel and housing costs rise,"Consumer prices in the US rose faster than expected last month, in a sign that the fight to slow inflation has stalled.",5 days ago
13,https://www.bbc.com/news/business-68768314,How AI is helping to prevent future power cuts,"Amid ever increasing demand for electricity, artificial intelligence (AI) is now being used to help prevent power cuts.",5 days ago
