,headline,link,date,body
0,"After $1.5 billion was spent, the centerpiece of Paris' Olympic efforts may still be too filthy to use",https://www.nbcnews.com/news/world/olympic-effort-clean-river-seine-may-spoiled-rainy-day-rcna147966,2024-04-21T08:59:07.765Z,"PARIS — Meandering down the Seine River, the light breeze, gentle current and the sun’s glistening rays weren’t the only things the three kayakers were hoping to catch on a warm spring day — they were also on the hunt for garbage. By attaching nylon stockings to the side of their kayaks, they scooped up even the smallest fragments of plastic, as well as the everyday detritus of life in the French capital that washes to the river’s surface every time it rains. The members of the Arc de Seine Kayak club then sent what they had collected to be tested for bacterial levels. “My kayak capsized this morning and I’m OK,” a laughing Paul Maakad told NBC News on Sunday, at the Pont de Sevres in central Paris. But while Maakad, 40, and his fellow boaters said they were not scared of getting into the river, with less than 100 days to go before the 2024 Paris Olympics, fears are growing that events like the marathon swim, the triathlon and the paratriathlon could be postponed or canceled because of high pollution levels, or that the flotilla-based opening ceremony could be affected.Kayakers Paul Maakad, Sarah Birden and Vincent Darnet with the trash they collected from the Seine.Joel Lawrence / NBC NewsEarlier this month, Tony Estanguet, the president of the Paris Organizing Committee, expressed confidence ""that it will be possible to use the Seine,” but admitted that the swimming leg of the triathlon could be canceled if pollution levels are too high. ""It’s what we want to avoid, of course,” he said. His comments came days after a French charity warned that bacteria, including “pollution of fecal origin,” was far higher in the river than permitted. As part of an ambitious plan to open up the Seine to public swimmers by 2025 — after being illegal for 100 years because of dangerously high pollution levels — France has spent 1.4 billion euros ($1.5 billion) on altering and upgrading the city’s antiquated sewage system, which now includes a 13-million-gallon overflow tank called the Austerlitz Basin. But in August, the swim portion of the test marathon event was canceled because the river failed pollution tests.As the starting gun to the Games approaches, Fluidion, one of the companies the city of Paris contracted to monitor bacteria in the water, exclusively shared its findings with NBC News. Paul Maakad and Vincent Darnet are members of the Arc de Seine Kayak club.Joel Lawrence / NBC NewsA sample of water collected by the Pont Alexander III bridge, in the city’s center, showed E. coli levels two-and-a-half times the level considered safe for swimming. But that in itself isn’t necessarily a concern for the Games themselves, according to Dan Angelescu, the CEO of Fluidion, a tech company that develops water testing products. “In the summer when there is a lot of sunlight, when the water flow, river flow rate is really low, and when there is no rain for several weeks, let’s say two or three weeks without rain, you can actually reach really good water quality conditions,” he said in an interview this month.But he added that even a small rain event could make E. coli levels shoot up. “You may swim in very polluted water and nothing may happen to you, or you may swim and you may develop itches, or you may develop infections, or you may catch a strain of E. coli that may be pathogenic,"" he said. ""Those aren’t very common, but they exist, and that could get you really sick.”"
1,"In a first, London Marathon awards wheelchair and non-disabled athletes equal prize money",https://www.nbcnews.com/news/sports/london-marathon-award-wheelchair-non-disabledd-athletes-equal-prize-mo-rcna148524,2024-04-20T12:31:40.000Z,"LONDON — In a global first for equality in sports, wheelchair athletes and non-disabled runners participating in the London Marathon on Sunday were competing for the exact same prize money.The move makes the event the only marathon in the world to award winners the same sum — $55,000 for first place, $30,000 for the runners-up and $22,500 for third-place finishers. Organizers said they were unaware of any other major athletic event in any sport that has taken a similar step.By equalizing the prize pot, marathon organizers have said they hope to pave the way for other races and sporting events to offer parity, encouraging more athletes to participate in disability sport and removing financial barriers to participation. The parity extends to gender: Both male and female wheelchair athletes are eligible for equal prize amounts.The men's wheelchair division race was won by Marcel Hug, a Paralympian widely considered the world’s best wheelchair racer, who cheered the decision ahead of the race.“The London Marathon is setting a great and strong but also courageous example for equality and inclusion that should go beyond the world of sport and hopefully inspires in other areas, too,” Hug told NBC News.Hug crossed the line in one hour, 28 minutes and 35 seconds in London to claim his fifth victory.American athlete Daniel Romanchuk placed second behind Hug. In third was British wheelchair racing star David Weir, a six-time Paralympic gold medalist who’s won the London race eight times before — more than any other athlete. Swiss athlete Catherine Debrunne won the women's event with a time of one hour, 3 minutes and 54 seconds. Manuela Schar, also from Switzerland came in second and American Tatyana McFadden placed third.Third place U.S. athlete Tatyana McFadden, winner Switzerland's Catherine Debrunner and second place Switzerland's Manuela Schar pose for a photo after the women's wheelchair race on Sunday.Justin Tallis / AFP via Getty ImagesIn Boston, the top prize for the wheelchair division was $40,000. In the open division, the non-disabled male and female winners took home $150,000 — more than three times as much.The 26.2-mile race in London kicked off Sunday morning south of the Thames River, crossing over Tower Bridge and passing iconic London landmarks like the Tower of London, the London Eye and the Big Ben before reaching the finish line near Buckingham Palace. Hugh Brasher, the London Marathon’s event director, cast the move as part of an evolution toward greater inclusion for athletes with disabilities that started in 1983 when the London race held its first wheelchair event, and continued with multiple International Paralympic Committee World Championships held since then in the British capital.Romanchuk, 25, who grew up in Maryland, applauded the decision to equalize the prize structure, predicting it would have “huge effects beyond race day.”“London Marathon’s equal prize money helps elevate perception of the sport to reflect the reality that we’re professional athletes, training and competing just like other professional athletes,” Romanchuk told NBC News as he traveled to London for the race. “My main hope is that it brings more visibility to the sport so that more athletes with disabilities can see the possibility of having an active lifestyle and participate in community running races.”Another reason why equalizing the financial aspect of sports is important, Romanchuk said, is that the high cost of specialized equipment for wheelchair racing often prevents lower-income athletes from getting involved. He said adaptive sports equipment starts at several thousands of dollars at entry level — far more than the pair of running shoes that a nondisabled athlete would need to start competing.Romanchuk said he’d first gotten involved in adaptive sports when he was 2 years old, describing the effect it had on his development and self-confidence.“They taught me to focus on what I did have — two strong arms — instead of what I didn’t have,” said Romanchuk, who was born with spina bifida, a congenital defect that affects the spinal cord. “The fact that my legs didn’t work normally was never an acceptable reason why I couldn’t reach a particular goal.”"
2,House advances Ukraine and Israel aid with rare support from more Democrats than Republicans,https://www.nbcnews.com/politics/congress/house-tees-votes-ukraine-israel-aid-speaker-johnson-defies-right-flank-rcna148550,2024-04-19T15:07:50.390Z,"WASHINGTON — The House voted 316-94 to tee up votes on four separate bills that include aid to Ukraine and Israel, a good sign for the prospects of Congress approving U.S. funding for the two countries after months of delay and partisan fighting.Speaker Mike Johnson, facing intense opposition from right-wing members, received crucial help from Democrats to move forward with the votes. More Democrats (165) than Republicans (151) voted to pass the “rule,” a procedural step to set up the votes.The move tees up four House votes that are expected Saturday afternoon: one on Israel aid, another on Ukraine aid, another on Indo-Pacific security and a fourth bill that includes a bill designed to ban TikTok in the U.S. if it does not divest from its China-based owner, as well as various national security priorities. If they pass, the measures would be packaged together and sent to the Democratic-controlled Senate.Mike Johnson on April 17, 2024 in Washington, D.C.Kent Nishimura / Getty ImagesTaken together, the foreign aid measures closely resemble the $95 billion national security package pushed by President Joe Biden. The Senate would have to pass it again, due to some differences with the version that passed the upper chamber in February.""The world is watching what the Congress does. Passing this legislation would send a powerful message about the strength of American leadership at a pivotal moment,"" the White House budget office said in a statement Friday endorsing the House package. ""The Administration urges both chambers of the Congress to quickly send this supplemental funding package to the President’s desk.""The House's move followed a vote of 9-3 in the Rules Committee late Thursday to send the bills to the floor for a final vote, with Reps. Thomas Massie, R-Ky., Chip Roy, R-Texas, and Ralph Norman, R-S.C., breaking with Johnson to vote against it. But all four Democrats on the committee voted for the rule and rescued it, an extremely unusual move for the minority party.""We only control one chamber, and I barely have control of that,"" Johnson said Thursday on Newsmax, explaining why he couldn't include GOP immigration measures in the package as some wanted. ""The Senate won't advance our legislation and the president won't sign it. ... I have a handful of my Republicans, at least, who will not advance a rule to bring that to the floor to combine it with the Ukraine and Israel funding. They won't do it. And so if I don’t have Republican votes, that means we have to have Democratic votes."" Johnson's decision to move forward with the bills comes as two of his members — Massie and Rep. Marjorie Taylor Greene, R-Ga. — threaten to remove him as speaker. They and many other House conservatives oppose additional aid to Ukraine.“We’ll see what happens. I’m going to do my job. I’m not deterred by threats,” Johnson said Friday. “We’re going to do the right thing and let the chips fall where they may.”But Johnson, who opposed Ukraine aid last year before he became speaker, now says he believes it is ""critically important,"" based on the intelligence and briefings he has since gotten.“I think Vladimir Putin would continue to march through Europe if he were allowed,"" he told reporters this week.""I would rather send bullets to Ukraine than American boys,"" Johnson said, adding that his son is entering the Naval Academy this fall. ""This is a live-fire exercise for me as it is so many American families. This is not a game, this is not a joke.” The fourth bill includes a provision to force China-based ByteDance to sell TikTok within nine months, which the president can extend to a year, or face a ban in the U.S. The provision, which has Senate buy-in as well as Biden's support, puts TikTok closer than ever to a prohibition in the country.Democrats praised the move to proceed to House votes, highlighting their party's key role.""It is vital that Congress act to send assistance to support Ukraine and fend off Russian aggression,"" Rep. Don Beyer, D-Va., said on X. ""We may be in the minority, but we are not going to let that urgent mission fail. Democrats are doing what it takes to make sure Ukraine gets help.""Rep. Grace Meng, D-N.Y., said Democrats were effectively in charge: ""We may be in the minority in the House right now, but @RepJeffries is essentially functioning as the real Speaker already. Rs couldn’t get their own bills out of the committee they control so Ds had to help them. Work horses not just show horses."""
3,Man suspected of aiding Zelenskyy assassination plot arrested in Poland,https://www.nbcnews.com/news/world/zelenskyy-assassination-plot-russia-ukraine-war-poland-arrest-rcna148424,2024-04-18T18:13:09.212Z,"A Polish man has been arrested on allegations of being ready to help Russia’s military intelligence in an alleged plot to assassinate Ukraine’s President Volodymyr Zelenskyy, prosecutors in Poland said Thursday.The office of Poland’s National Prosecutor said in a statement that the man, identified only as Pawel K, was accused of being prepared to pass airport security information to Russian agents and that he was arrested in Poland on Wednesday.The man was seeking contact with Russians directly involved in the war in Ukraine and was expected to pass on detailed information about the Rzeszow-Jasionka airport in south-eastern Poland, near the border with Ukraine.The airport is the gateway for international military and humanitarian supplies for Ukraine and is under the control of U.S. troops.If convicted, the man could face up to eight years in prison, the statement said.The prosecutors said the arrest is the result of close co-operation with the prosecutors and security services of Ukraine, who tipped them off and who provided crucial evidence. The case is developing, they said.In Germany on Thursday, prosecutors said that two German-Russian men have been arrested on suspicion of espionage, one of them accused of agreeing to carry out attacks on potential targets including US military facilities in hopes of sabotaging aid for Ukraine.The two, identified only as Dieter S and Alexander J in line with German privacy rules, were arrested on Wednesday in the Bavarian city of Bayreuth, Germany’s federal prosecutors said.A number of people, including a dual Russian-Spanish citizen have been arrested in Poland on allegations of spying for Russia since Moscow launched its attack on Ukraine in February 2022.European Union member Poland has been a staunch supporter of neighboring Ukraine and Zelenskyy in fending off Russia’s aggression of more than two years."
4,Germany arrests men accused of spying on U.S. military sites for Russia in sabotage plot to undermine Ukraine aid,https://www.nbcnews.com/news/world/germany-arrests-russia-spy-sabotage-plot-us-military-sites-ukraine-aid-rcna148331,2024-04-18T13:48:42.122Z,"MUNICH, Germany — Two men have been arrested in Germany on suspicion of spying for Russia and collecting information about potential attack targets, including U.S. military facilities, authorities said Thursday.The German Federal Prosecutor's office said in a statement that two German Russian nationals — named only as Dieter S. and Alexander J. in line with the country's privacy rules — were working with a Russian secret service agent to undermine international military support for Ukraine.Dieter S., who is suspected of being a former fighter for pro-Kremlin forces in eastern Ukraine, is accused of making arrangements for an explosive or arson attack in Germany. The German Foreign Ministry confirmed that it summoned the Russian ambassador to Berlin on Thursday in light of the arrests.The Federal Criminal Police Office arrested the men Wednesday in Bayreuth, a city in the southern state of Bavaria.Bavarian state police searched their homes and workplaces. Some Ukrainian soldiers have been training at U.S. military installations in this part of Bavaria.Arrest warrants dated April 9 accuse both men of working for a foreign secret service, carrying out ""activity for sabotage purposes"" and obtaining ""security-threatening depictions of military installations,"" prosecutors said. The prosecutor's statement said Dieter S. has been in touch with a ""person who is connected to the Russian secret service"" since October, with whom he discussed possible sabotage operations in Germany. ""The actions were intended in particular to undermine military support provided to Ukraine from Germany against the Russian war of aggression,"" the statement said. ""Against this background, the accused stated to his counterpart that he was willing to use explosion and arson attacks especially on infrastructure used for military purposes and industrial sites in Germany,"" it added. ""To prepare, Dieter S. collected information about potential attack targets, including U.S. military facilities.""Authorities accused Dieter S. of going to multiple sites to take photos and videos that were passed on to his Russian secret service contact. They also allege that Alexander J. helped him from March this year at the latest.Dieter S. appeared Wednesday in court, where he was placed in pretrial detention. Alexander J will appear in court Thursday, authorities said.A separate arrest warrant dated April 11 accuses Dieter S. of membership in a foreign terrorist organization and of ""preparation of a serious act of violence that endangers the state."" The warrant notes the ""strong suspicion"" that he was active as a pro-Russian soldier in an armed wing of the self-proclaimed Donetsk People's Republic, engaging in the ongoing war for control of Ukraine. Ukraine has long warned that Russian spies were active across Europe and working to sabotage its defense against Russia's invasion, in particular in Germany.Oleksiy Danilov, the former coordinator of Ukraine's war Cabinet, told The Times of London last month: ""We have made multiple warnings to our German partners about the spy network of Russians that are very active in Germany.""He added: ""It is well known the Russians are listening to conversations of German officials and we think this is not the last conversation they have.""Danilov was removed from his job and replaced last month as part of a military shake-up by Ukrainian President Volodymyr Zelenskyy.Germany accused Russia of ""information war"" last month after Russian state media published the audio of a private discussion among high-ranking German military officers about support for Ukraine, sparking embarrassment in Berlin and glee in Moscow.Germany has become the second-biggest supplier of weapons to Ukraine after the U.S., but it has been engaged in a fierce debate over whether it should be doing more.“We know that the Russian power apparatus is also targeting our country,"" Justice Minister Marco Buschmann wrote on X after the arrests, adding that Germany “must respond to this threat defensively and decisively.”Germany’s top security official, Interior Minister Nancy Faeser, said in a statement that this was ""a particularly serious case of suspected spy activity for Putin’s criminal regime.""Asked about the arrests Thursday, Kremlin spokesman Dmitry Peskov said: ""I can’t comment on it in any way. I do not have any information in this regard.”Carlo Angerer reported from Munich and Patrick Smith from London."
5,Prince Harry now officially considers the U.S. — not Britain — his primary residence,https://www.nbcnews.com/news/world/prince-harry-changes-primary-residence-us-company-filing-rcna148341,2024-04-18T12:50:01.417Z,"LONDON — Prince Harry now officially considers himself a resident of the U.S., according to a new U.K. regulatory filing.The Duke of Sussex moved to California in 2020 with his American wife, Meghan, the Duchess of Sussex, after the couple stepped back from royal duties.The prince had suggested that it may have been a temporary move. ""The U.K. is my home and a place that I love. That will never change,"" he said in a speech soon after the announcement. ""We both do everything we can to fly the flag and carry out our roles for this country with pride."" But a filing Wednesday from Travalyst Ltd, which the prince founded, showed that America is now his primary residence — at least for business purposes.The listing was added to Companies House, a government agency that lists public documents for privately owned businesses in Britain.Using his full name, Prince Henry Charles Albert David Duke Of Sussex, it said: ""New country/State Usually Resident: United States.""The London-based company, set up in April 2020, is 75% owned by the prince and describes itself as an adviser to the ""world's leading travel brands"" on sustainable tourism.Its most recent set of accounts, covering the year to June 30, 2023, show the company made a profit of £56,620 ($70,600).The change was filed this week, but it was made on June 29 last year, the day it was reported that Harry and Meghan had officially left Frogmore Cottage, a royal property near Windsor Castle west of London. Harry told a reporter in February that he had considered applying to become a U.S. citizen. Harry and Meghan have made headlines in recent years more for their media careers. His memoir, ""Spare,"" shot to the top of bestseller charts in the U.K. with its frank and detailed account of his early life, including losing his virginity in a field outside a country pub.The couple last week announced the latest productions as part of their multiyear contract with Netflix, a documentary series about polo and a lifestyle show focused on friendship and food.This week Meghan launched her own lifestyle brand by sending strawberry jam to influencers across the U.S. The jars were labeled ""American Riviera Orchard — Montecito,"" referring to the upmarket neighborhood of Santa Barbara, California, where the couple now live with their two children, Archie and Lilibet.Thursday also marks the first official royal engagement for Prince William, the heir to the throne, since his wife, Princess Kate, announced she was receiving treatment for cancer.The prince was due to visit community groups in west London and the neighboring area of Surrey to highlight efforts to reduce food waste as a way to feed people in need and reduce emissions that harm the environment."
6,Trump says 'We're behind Poland' as he meets with President Andrzej Duda,https://www.nbcnews.com/news/world/trump-meets-poland-president-duda-rcna148338,2024-04-18T10:15:21.471Z,"Polish President Andrzej Duda discussed Ukraine and the Middle East with Republican presidential candidate Donald Trump during a meeting in New York on Wednesday at which the former U.S. president said he was “behind Poland all the way.”Duda, whose term in office expires in 2025, was one of Trump’s preferred international partners during his 2017-2021 presidency and they have described themselves as friends.In contrast, many other European leaders have long been nervous that a second Trump presidency would mean decreased U.S. support for Poland’s eastern neighbor Ukraine and for the NATO military alliance.“The people of Poland love him (Duda)... and that’s not an easy thing to accomplish, but he’s done a fantastic job and he’s my friend,” Trump told reporters as Duda arrived at Trump Tower.“We’re behind Poland all the way,” he added.The Trump campaign said in a readout of the meeting that they had discussed a proposal from Duda that NATO members spend at least 3% of their gross domestic product (GDP) on defense. The current minimum target is 2%.“They also discussed the war between Russia and Ukraine, the conflict with Israel in the Middle East, and many other topics having to do with getting to world peace,” the campaign said.After their dinner Duda said it was “a friendly meeting in a very nice atmosphere.”Trump, who is on trial in New York over accusations that he covered up a “hush money” payment to pornographic actress Stormy Daniels, is likely to face a tight race against President Joe Biden, a Democrat, in the November presidential election.Duda is in New York to attend the United Nations, and will travel on to Canada on Friday."
7,Prominent figure in German far-right party stands trial over alleged use of Nazi slogan,https://www.nbcnews.com/news/world/germany-far-right-leader-stands-trial-alleged-use-nazi-slogan-rcna148337,2024-04-18T09:58:36.709Z,"One of the most prominent figures in the far-right Alternative for Germany party arrived in court Thursday for his trial on charges of using a Nazi slogan, months before a regional election in which he is running to become his state’s governor.Björn Höcke, 52, is the leader of the regional branch of Alternative for Germany, or AfD, in the eastern state of Thuringia and a powerful figure on the party’s hard right.While never formally a national leader of AfD, the former history teacher has been consistently influential as the 11-year-old party has steadily headed further right and ousted several comparatively moderate leaders.At the trial at the state court in Halle, he is charged with using symbols of unconstitutional organizations. He is accused of ending a speech in nearby Merseburg in May 2021 with the words “Everything for Germany!”Prosecutors contend he was aware of the origin of the phrase as a slogan of the Nazis’ SA stormtroopers.Using symbols of unconstitutional organizations can carry a fine or a prison sentence of up to three years. Four court sessions have been scheduled through May 14.Demonstrators gathered outside the court building before the trial opened, with banners including “Björn Höcke is a Nazi” and “Stop AfD!” About 570 protesters turned out, according to police.The court last week added a second count of using the same phrase to the Halle trial, but decided shortly before proceedings started to try that separately because Höcke’s defense lawyers recently changed, German news agency dpa reported. In that case, prosecutors allege that he repeated the offense at a party event in Gera last December, “in certain knowledge of the punishability” of the slogan.They say that Höcke said “Everything for ...” and encouraged the audience to shout “Germany!”Höcke has led AfD’s regional branch in Thuringia since 2013, the year the party was founded, and its group in the state legislature in Erfurt since it first won seats there in 2014.He once called the Holocaust memorial in Berlin a “monument of shame” and called for Germany to perform a “180-degree turn” in how it remembers its past. A party tribunal in 2018 rejected a bid to have him expelled.Höcke’s regional branch of AfD is now one of three that the domestic intelligence agency has under official surveillance as a “proven right-wing extremist” group.Wolfgang Schroeder, a political science professor at the Berlin Social Science Center, said Höcke has become an increasingly important figure in AfD and the front man of a “radicalization project” in the party. He said that people vote for the party “in part out of protest, in part out of conviction.”AfD is particularly strong in the formerly communist east and is in first place in polls in Thuringia ahead of a state election on Sept. 1, with recent surveys showing support of 29-to-31%.It’s unlikely that any other party will agree to work with Höcke and put him in the governor’s office, but AfD’s strength has made forming governing coalitions in the state enormously complicated.Höcke insisted in a debate with a conservative rival last week that he wasn’t aware “Everything for Germany!” was a Nazi slogan and claimed that many others have used it. “Everyone out there knows it’s an everyday saying,” he said on Welt television.He also faces a second trial, for which dates haven’t yet been set, on charges of incitement related to a 2022 post on Telegram about a crime in the western city of Ludwigshafen."
8,"House Republicans release aid bills for Israel and Ukraine, eyeing weekend House votes",https://www.nbcnews.com/politics/congress/house-republican-aid-bills-ukraine-israel-rcna148025,2024-04-17T20:50:04.368Z,"WASHINGTON — Facing a divided party and pressure to act, House Speaker Mike Johnson rolled out three bills Wednesday to provide assistance to Israel, Ukraine and Taiwan, with the hope of holding final votes on Saturday.The bills represent a major test of Johnson’s ability to navigate a thicket of political and global challenges with a wafer-thin majority. And it comes as Johnson, R-La., faces a serious threat to his gavel from Reps. Marjorie Taylor Greene, R-Ga., and Thomas Massie, R-Ky.Johnson's biggest challenge is Ukraine funding, an issue that has bitterly divided the GOP. He has been squeezed by conservative security hawks who want to help Ukraine fend off Russia’s aggression and by an empowered isolationist wing that is feeding off former President Donald Trump’s criticism of NATO and prior Ukraine aid measures.Multiple Republicans say they oppose any funding for Ukraine, meaning that a significant share of Democrats will be required to carry that measure over the finish line. Many of the provisions in the bills resemble the package passed by the Senate in one bundle, which Johnson rejected and refused to put to a House vote.In a message to members before releasing the legislation, Johnson said there would be ""three bills that will fund America’s national security interests and allies in Israel, the Indo-Pacific, and Ukraine, including a loan structure for aid, and enhanced strategy and accountability.""He said Republican leadership will come forward with an amendment process ""alongside a fourth bill that includes the REPO Act,"" which is aimed at seizing Russian assets to benefit Ukraine; the House-passed bill to ban TikTok in the U.S. unless it divests from its China-based owner; as well as ""sanctions and other measures to confront Russia, China, and Iran.""“We expect the vote on final passage on these bills to be on Saturday evening,” Johnson said in a text message obtained by NBC News.He said there will also be a ""border security bill that includes the core components of H.R.2"" — a conservative, House-passed immigration bill — moving under a separate process. That measure serves as a sweetener for reticent conservatives who are unhappy that the aid bills don't include domestic immigration provisions.Swift conservative pushbackMultiple House conservatives pushed back immediately on social media Wednesday after Johnson's message went out, complaining that the border measures weren't directly tied to Ukraine funding.""The Republican Speaker of the House is seeking a rule to pass almost $100 billion in foreign aid — while unquestionably, dangerous criminals, terrorists, & fentanyl pour across our border. The border 'vote' in this package is a watered-down dangerous cover vote. I will oppose,"" Rep. Chip Roy, R-Texas, wrote on X.Rep. Scott Perry, R-Pa., the most recent chair of the hard-right Freedom Caucus, said: ""Anything less than tying Ukraine aid to real border security fails to live up to @SpeakerJohnson's own words just several weeks ago. Our constituents demand — and deserve — more from us.""Rep. Troy Nehls, R-Texas, earlier called aid to Ukraine unnecessary, saying: “I’m not giving them a nickel today, tomorrow or next week.""“Putin is not going into Poland. I don’t care what you say. Besides, anyway, it doesn’t really matter because ... when Donald Trump wins, Putin’s leavin’. Putin’s leavin’ Ukraine,” Nehls said ahead of the bill’s release, without explaining his logic.House Democrats have repeatedly called on Johnson to bring up a Senate-passed foreign aid package instead, calling it the best — if not only — path to getting a bill on Biden's desk. They have posted a ""discharge petition"" with 195 signatories to end-run Johnson and force a vote on that bill. It needs 218 votes to come up, meaning it will need the backing of some Republicans in addition to Democrats.At a Wednesday meeting with Democrats, House Minority Whip Katherine Clark, D-Mass., told members that they need to use their “personal relationships” with Republicans to garner support for the discharge petition, according to two people familiar with her comments.Treasury Secretary Yellen dials up pressureAt a bilateral meeting later Wednesday with Ukraine Prime Minister Denys Shmyhal, Treasury Secretary Janet Yellen plans to dial up the pressure on House Republicans to act.“The failure of House Republicans to act to support Ukraine in this pivotal moment of the war for so long has been inexcusable—and detrimental to our national security,” Yellen will say, according to a Treasury source. “Every moment of delay by House Republicans strengthens Putin and emboldens America’s adversaries around the world who are closely watching to see if we, the United States, maintains its resolve to support a democratic Ukraine as it fends off an autocratic Russia.”Meanwhile, Greene has not said when she might force a vote on her ""motion to vacate"" the speaker's chair, which would take a simple majority to remove Johnson from his job. Her effort gained a cosponsor in Massie on Tuesday, who predicted Johnson would be voted out.It's not clear the votes are there to oust Johnson. Many conservatives, including some who voted to remove former Speaker Kevin McCarthy, have not joined the effort to oust Johnson. Some Democrats have also said they'll vote to protect Johnson from a motion to depose him.But Massie said that would only hurt his standing with the GOP in the long term.“Then he goes further in the hole with Republicans. He becomes toxic to the conference. For every Democrat who comes to his aid he’ll lose 2 to 3 more Republicans,” Massie said. “He doesn’t have much shelf life after that.”Johnson struck a defiant tone Tuesday when asked about the threat to his gavel, calling it “absurd” while saying he’s “not concerned” about the motion and will continue to do his job."
9,Ukraine sees an 'extremely strange' double standard after U.S. and allies help defend Israel,https://www.nbcnews.com/news/world/ukraine-air-defense-russia-allies-help-israel-iran-attack-rcna147964,2024-04-17T10:14:37.160Z,"KYIV, Ukraine — In the wave of Iranian drones and missiles that were shot down before they reached their targets over the weekend, another ally sees the possibilities, and limits, of Western support.The U.S. and its partners helped Israel, so why, Ukraine is asking, won’t they help protect us from Russian attacks?It ""looks extremely strange,"" Ukrainian presidential adviser Mykhailo Podolyak said in an interview Tuesday. ""How does the civilian population of Ukraine or the civilian infrastructure of Ukraine differ from the civilian population of Israel from a humanistic point of view?"" he asked bluntly.Most galling, perhaps, is that the Kremlin has been deploying the same drones as Tehran in its assault on Ukrainian cities.""Russia and Iran use the same attack strategy and the same tools,"" Podolyak said. ""They can be completely destroyed."""
