Unnamed: 0,ArticleId,Text,Category
1,1319,software watching work software monitor every keystroke action performed pc also used legally binding evidence wrong-doing unveiled. worry cyber-crime sabotage prompted many employer consider monitoring employees. developer behind system claim break-through way data monitored stored. privacy advocate concerned invasive nature software. system joint venture security firm 3ami storage specialist bridgehead software. joined force create system monitor computer activity store retrieve disputed file within minutes. firm finding deep water result data misuse. sabotage data theft commonly committed within organisation according national hi-tech crime unit (nhtcu) survey conducted behalf nop found evidence 80% medium large company victim form cyber-crime. bridgehead software come technique prove legal standard stored file pc tampered with. ironically impetus developing system came result freedom information act requires company store data certain amount time. storage system incorporated application developed security firm 3ami allows every action computer logged. potentially could help employer follow trail stolen file pinpoint whether emailed third party copied printed deleted saved cd floppy disk memory stick flash card. activity system monitor include downloading pornography use racist bullying language copying application personal use. increasingly organisation handle sensitive data government using biometric log-ins fingerprinting provide conclusive proof using particular machine given time. privacy advocate concerned monitoring work damaging employee privacy also relationship employer staff. case said tim ellsmore managing director 3ami. replacing dialogue issue talk still need proof said. people need recognise using pc representative company employer legal requirement store data added.,3
3,459,india reliance family feud heat ongoing public spat two heir india biggest conglomerate reliance group spilled board meeting leading company within group. anil ambani vice-chairman india petrochemical limited (ipcl) stayed away gathering senior manager thursday. move follows decision earlier month anil - younger brother reliance group president mukesh ambani - resign post. resignation accepted brother also bos ipcl. ipcl board met mumbai discus company result october-to-december quarter. understood board also considered anil resignation asked reconsider decision. however anil demand anand jain - another ipcl board member accused anil creating rift ambani family - thrown met. anil accused anand jain confidant brother mukesh playing negative role ambani family responsible trouble brothers. wednesday board reliance energy another reliance group company reaffirmed faith anil company chief. reliance group acquired government 26% stake ipcl - india second-largest petrochemical company - 2002 part privatisation drive. meanwhile group flagship company reliance industry board meeting friday consider financial results. mukesh company chairman anil deputy expected brother come face face meeting. ambani family control 48% group worth $17bn (£9.1bn; 745bn indian rupees). founded father dhiru bhai ambani died two year ago.,1
6,2025,blair blast tory spending plan tony blair launched attack conservative spending plan saying ludicrous improbability . prime minister told labour party gathering tory policy would cause economic failure. tory leader michael howard said party would cut £35bn wasteful spending allow £4bn tax cuts. saturday tory shadow home secretary david davis said tory would fund cut removing inefficiency burgeoned labour. speech mr blair contrasted reformed labour party learned occupy political centre ground hidebound tory party said would turn clock back spending cuts. mr blair said: conservative tax spending proposal would put risk britain hard-won economic stability - lowest mortgage inflation unemployment decade - key investment public services. believe tory plan plain call return past possible imagine said. recipe exactly boom bust economics cut public service hallmark 18 year conservative government. mr blair added: conservative learned nothing. contrast said new labour listened electorate changed. mr blair went list government achievement issue rallying call party. choice defend record build go fulfil promise give go back. say fight. response david davis said tory would make cut removing regional assembly would bring police officer match labour spending health education. everybody know lived government last seven year faced lot stealth tactic lot increase tax improvement public service said. mr davis said labour responsible huge waste huge overspending frontline bureaucracy . public face choice waste tax government le waste lower tax tory government concluded. gordon brown addressed conference behind closed doors. chancellor said conservative plan would see £50bn spending cut 2011 tory deny. mr brown also issued call party unity warn danger allowing distracted diverted . according advance text released official told delegates: must show strength unity purpose take long-term decision necessary meet them. mr brown warned tory planning biggest cut ever history election manifesto . meanwhile tory shadow chancellor oliver letwin accused mr blair misrepresenting party proposal questioned labour would fund plans. still cannot accept simple truth spend matter people - school hospital police - offer value money lower tax mr letwin said. mr blair chancellor failed answer question lie heart election - tax put fill £8bn shortfall plan,0
7,1479,former ni minister scott dy former northern ireland minister sir nicholas scott died london hospice family announced. former conservative mp kensington chelsea died long illness diagnosed alzheimer s. 71-year-old served northern ireland 1981 1987 premiership margaret thatcher. northern ireland minister dealt education later security rode mass ira escape maze 1983. education encountered criticism school closure future catholic training colleges. also merged new university ulster ulster polytechnic create university ulster. sir nicholas strong defender anglo-irish agreement held esteem dublin government sdlp circles. experienced hostility unionist dubbed minister discord . leaving northern ireland reshuffle became uk disability minister. sir nicholas replaced member kensington chelsea flamboyant alan clark deselected constituency december 1996. deselection followed series scandal including found slumped street police tory party conference bournemouth taken back hotel. sir nicholas claimed strong painkiller taking back problem reacted badly small amount alcohol. sacking bitterly said despite support cabinet minister tory backbencher eurosceptics constituency absolutely determined get rid . colourful career also included public disagreement daughter victoria civil right disabled. sir nicholas admitted misled mp denied department involved wrecking tactic designed kill disability bill 1994. victoria lobbyist disabled right denounced father action heaped insult injury joined call resign. joined backbench two month later.,0
8,27,career honour actor dicaprio actor leonardo dicaprio exceptional career honoured santa barbara international film festival. star presented award martin scorsese directed oscar-nominated movie aviator. lifetime achievement award completely utterly surreal given 30 year old dicaprio said. almost 17 year now. done quite films. retrospective movie shown. really exciting really love added. want rest life. dicaprio began movie career horror film critter 3 moving onto role basketball diary romeo juliet titanic gang new york. achievement award created commemorate california festival 20th anniversary coincided dicaprio portrayal millionaire howard hughes aviator. veteran actress jane russell starred hughes 1943 film outlaw said impressed dicaprio quest authenticity previously discussed role her. happy (dicaprio) came cared come find (hughes) really like said. aviator taken pole position year oscar race 11 nomination including nomination best film best actor dicaprio best director scorsese.,2
9,397,tsunami hit sri lanka bank sri lanka bank face hard time following december tsunami disaster official warned. sri lanka bank association said wave killed 30 000 people also washed away huge amount property securing loans. according estimate much 13.6% loan made private bank client disaster zone written damaged. state-owned lender may even worse hit said. association estimate private banking sector 25bn rupee ($250m; £135m) loan outstanding disaster zone. one hand bank dealing death customer along damaged destroyed collateral. extending cheap loan rebuilding recovery well giving client time repay existing borrowing. combination mean revenue shortfall 2005 slba chairman - commercial bank managing director - al gooneratne told news conference. bank given moratorium collecting interest least quarter said. public sector one ten state-owned people bank customer south sri lanka affected bank spokesman told reuters. estimated bank loss 3bn rupees.,1
10,1644,u economy still growing say fed area u saw economy continue expand december early january u federal reserve said latest beige book report. 12 u region identifies study 11 showed stronger economic growth cleveland area falling behind mixed rating. consumer spending higher december november festive sale also 2003. employment picture also improved fed said. labour market firmed number district wage pressure generally remained modest beige book said. several district reported higher price building material manufacturing input reported steady slightly higher overall price levels. report added residential real estate activity remained strong commercial real estate activity strengthened districts. office leasing especially brisk washington dc new york city two nation strongest commercial market fed said.,1
11,263,digital uk driven net tv uk adoption digital tv broadband helped make fourth digitally-savvy nation europe according report jupiter research. uk still lag term broadband speed compared others. digitally sophisticated european term use digital good mobile tv net camera scandinavians. 14 million household uk 60% digital tv according communication regulator ofcom. least digital european nation greece 17th position according digital life index. scandinavian country sweden denmark norway came top report difference technology trends. european digital life index demonstrates digital lifestyle common today across europe single digital lifestyle said nate elliott jupiter analyst. consumer adopt different digital product service different countries. although difference different european nation gap closing report concluded. trend gadget technology digital video recorder (dvr) broadband video-on-demand continue across europe added. six million uk household broadband net. middle 2005 estimated 50% uk net user broadband. cable company ntl trialling faster adsl (asymmetric digital subscriber line) broadband technology using adsl2+ give speed 18mbps compared current speed usually around 1mbps 2mbps. bt set trial technology later year. super-fast broadband necessary delivery service high-definition tv (hdtv) video-on-demand already popular france european countries. separate survey gmipoll last week found globally people appetite technology gadget continues unabated. poll 20 000 people 20 country found 59% wanted technology. computer must-have gadget people (75%). tv took second place (67%) mobile ranked third position 54%. digital camera popular choice gadget 2005 said survey nearly 40% choosing wireless home printing dvr technologies. however 25% briton said digital camera would top gadget purchase year. almost quarter 22% said would buying sort wireless device. forty-four percent said would buying something . might include digital music player gaming devices. nintendo d sony psp gizmondo hit shop 2005 first next generation game console xbox 2 set launch later year. jupiter research index calculated using 40 different variable across net user digital tv adoption wireless mobile online activity digital devices.,3
12,765,blunkett tell love pain david blunkett spoken love married publisher kimberly quinn first time. home secretary described affected friend personal life said great believer personal responsibility. mr blunkett taking legal action gain access mr quinn two-year-old son. denies mr blunkett s. interview bbc radio sheffield made allegation fast-tracked visa mr quinn nanny. allegation denied investigated sir alan budd. mr blunkett talked fell love - resisted desire go public. apparent reference court action gain access son say great believer responsibility consequence even painful. mr blunkett told bbc radio sheffield: fell love someone go public thing started go badly wrong summer news world picked story. tried three year make something work. spoken intend to. even biography written ensured little possible. bbc political correspondent carole walker said timing broadcast unlikely help effort show concentrating getting job home secretary. shadow home secretary david davis say mr blunkett quit found influenced visa process even indirectly. report claimed mr blunkett chaired meeting discus delay visa system learned nanny leoncia casalme wait. home office said would sir alan inquiry decide meeting relevant. home office minister fiona mactaggart said hoped mr blunkett would survive job. work every day always surprised focused job hand working deal thing said. told bbc one breakfast frost programme: really job hope (survive).,0
13,2134,ibm put cash behind linux push ibm spending $100m (£52m) next three year beefing commitment linux software. cash injection used help customer use linux every type device handheld computer phone right powerful servers. ibm said money fund variety technical research marketing initiative boost linux use. ibm said taken step response greater customer demand open source software. 2004 ibm said seen double digit growth number customer using linux help staff work together closely. money used help push towards greater collaboration add linux-based element ibm workplace software. workplace suite program tool allow worker get core business application matter device use connect corporate networks. one main focus initiative make easier use linux-based desktop computer mobile device workplace. even ibm announced latest spending boost one biggest advocate open source way working. 2001 put $300m three-year linux program produced linux version many programs. linux open source software movement based premise developer free tinker core component software programs. reason open scrutiny software produce better program fuel innovation.,3
