2024-04-07 08:49:15 - Best accuracy: 98.92% in fold 4
2024-04-07 09:04:40 - Best accuracy: 98.38% in fold 4. Test accuracy: 99.46%
2024-04-07 10:39:33 - Best accuracy: 98.65% in fold 3. Test accuracy: 99.18%. Time taken: 577.68 seconds, using device: cuda # 128 neurons
2024-04-07 10:49:16 - Best accuracy: 98.52% in fold 1. Test accuracy: 98.78%. Time taken: 417.05 seconds, using device: cuda # 258 neurons
2024-04-07 10:57:49 - Best accuracy: 99.06% in fold 2. Test accuracy: 99.46%. Time taken: 454.90 seconds, using device: cuda # 128 neurons
2024-04-07 18:33:39 - Best accuracy: 98.25% in fold 3. Test accuracy: 99.59%. Time taken: 1923.14 seconds, using device: cuda # multihead attention, 8 batch size emded_dim = 64
2024-04-08 10:32:08 - Best accuracy: 98.12% in fold 2. Test accuracy: 98.78%. Time taken: 530.27 seconds, using device: cpu # single head attention, 16 batch size emded_dim = 64
2024-04-08 10:43:40 - Best accuracy: 97.98% in fold 0. Test accuracy: 98.91%. Time taken: 614.44 seconds, using device: cpu # emded_dim = 128
2024-04-08 11:01:59 - Best accuracy: 98.79% in fold 3. Test accuracy: 99.18%. Time taken: 1002.77 seconds, using device: cpu # 32 batch size
2024-04-08 11:23:45 - Best accuracy: 98.25% in fold 4. Test accuracy: 99.18%. Time taken: 665.66 seconds, using device: cpu
2024-04-08 11:34:18 - Best accuracy: 98.12% in fold 0. Test accuracy: 99.46%. Time taken: 609.75 seconds, using device: cpu
2024-04-16 11:52:14 - Best accuracy: 100.00% in fold 0. Test accuracy: 47.62%. Time taken: 1084.87 seconds, using device: cuda
2024-04-16 12:15:20 - Best accuracy: 100.00% in fold 3. Test accuracy: 99.86%. Time taken: 1300.95 seconds, using device: cuda
2024-04-16 15:43:43 - Best accuracy: 99.83% in fold 4. Test accuracy: 99.46%. Time taken: 1740.03 seconds, using device: cuda # 512 neurons and emded_dim = 256
2024-04-16 18:55:42 - Best accuracy: 100.00% in fold 1. Test accuracy: 99.73%. Time taken: 10851.03 seconds, using device: cuda
2024-04-17 21:06:15 - Best accuracy: 68.75% in fold 1. Test accuracy: 52.79%. Time taken: 5.97 minutes, using device: cpu
2024-04-17 21:33:06 - Best accuracy: 50.00% in fold 4. Test accuracy: 25.58%. Time taken: 2.03 minutes, using device: cpu
2024-04-18 11:06:21 - Best accuracy: 98.25% in fold 4. Test accuracy: 93.33%. Time taken: 809.44 minutes, using device: cpu
2024-04-18 11:11:58 - Best accuracy: 60.00% in fold 0. Test accuracy: 33.47%. Time taken: 2.21 minutes, using device: cpu
2024-04-18 11:14:46 - Best accuracy: 50.00% in fold 4. Test accuracy: 31.70%. Time taken: 2.30 minutes, using device: cpu
2024-04-18 11:42:01 - Best accuracy: 98.00% in fold 0. Test accuracy: 80.27%. Time taken: 5.59 minutes, using device: cpu
2024-04-18 11:50:47 - Best accuracy: 94.50% in fold 3. Test accuracy: 86.80%. Time taken: 7.10 minutes, using device: cpu
2024-04-18 11:59:31 - Best accuracy: 97.50% in fold 0. Test accuracy: 86.67%. Time taken: 6.09 minutes, using device: cpu
2024-04-18 12:26:24 - Best accuracy: 99.19% in fold 1. Test accuracy: 74.83%. Time taken: 26.09 minutes, using device: cpu
2024-04-18 15:00:19 - Best accuracy: 97.04% in fold 1. Test accuracy: 97.69%. Time taken: 150.58 minutes, using device: cpu
2024-04-19 12:05:53 - Best accuracy: 93.75% in fold 2. Test accuracy: 61.63%. Scrape data accuracy: 0.2733333333333333. Time taken: 27.59 minutes, using device: cuda
2024-04-19 15:55:21 - Best accuracy: 95.60% in fold 0. Test accuracy: 98.50%. Scrape data accuracy: 0.5166666666666667. Time taken: 225.06 minutes, using device: cuda
2024-04-19 16:14:25 - Best accuracy: 91.50% in fold 1. Test accuracy: 90.61%. Scrape data accuracy: 0.3333333333333333. Time taken: 14.43 minutes, using device: cuda #using 1000 rows and normal token
2024-04-19 17:06:32 - Best accuracy: 90.00% in fold 1. Test accuracy: 90.34%. Scrape data accuracy: 0.64. Time taken: 15.23 minutes, using device: cuda #bpe, 1000 rows and 8 batch size
2024-04-19 17:31:16 - Best accuracy: 91.00% in fold 2. Test accuracy: 89.80%. Scrape data accuracy: 0.5666666666666667. Time taken: 22.98 minutes, using device: cuda
2024-04-19 18:14:23 - Best accuracy: 93.00% in fold 3. Test accuracy: 91.43%. Scrape data accuracy: 0.6366666666666667. Time taken: 13.58 minutes, using device: cuda
2024-04-19 19:07:30 - Best accuracy: 92.00% in fold 2. Test accuracy: 92.11%. Scrape data accuracy: 0.5533333333333333. Time taken: 12.11 minutes, using device: cuda # 16 batch size
2024-04-19 19:47:39 - Best accuracy: 97.07% in fold 2. Test accuracy: 98.07%. Scrape data accuracy: 0.6166666666666667. Time taken: 38.11 minutes, using device: cuda
