predicted_category,sentiment,entities,headline,link,date,body,keyword_similarity,scandal,most_similar_keyword
politics,Neutral,"['Gothic', 'the Easter Mattins Service', 'the Easter Service', 'WPA Pool / Getty', 'the Easter Service', 'Windsor CastleHollie Adams', 'WPA Pool / Getty', 'Maundy', 'NBC News']","King Charles makes public return at Easter Sunday service, but no Princess Kate after cancer diagnosis",https://www.nbcnews.com/news/world/king-charles-easter-sunday-service-windsor-princess-kate-cancer-rcna145585,2024-03-31T10:27:08.626Z,"LONDON — King Charles III has arrived at the Easter Sunday service at the chapel in Windsor Castle — his first major event since he was diagnosed with cancer in February. Charles, 75, was accompanied by Queen Camilla and other members of the royal family at the Gothic-style St. George’s Chapel for the traditional annual engagement.King Charles and Queen Camilla arrive to attend the Easter Mattins Service at Windsor Castle.WPA Pool / Getty ImagesKing Charles III greets people after the Easter Service at St. George's Chapel, Windsor Castle.Hollie Adams, WPA Pool / Getty ImagesThe king’s public appearance will provide a timely boost to the royal family, which has been beset by illness and media speculation. But the absence of Prince William and Kate, the Princess of Wales, after the revelation of her own cancer diagnosis offered a reminder that the royal ranks remain depleted.Archbishop of Canterbury Justin Welby, the spiritual leader of the Anglican church, mentioned the king and Kate at the top of his Easter sermon Sunday.Charles III and Queen Camilla greet people after the Easter Service at St. George's Chapel, Windsor CastleHollie Adams, WPA Pool / Getty Images“In each of our lives there are moments which change us forever,” Welby said. “Sometimes it’s individual. We have watched, sympathized with and felt alongside the dignity of the king and the Princess of Wales as they have talked of their cancer — and in doing so, by their lack of selfishness, by their grace and their faith, boosted so many others.”Charles is undergoing regular treatment and has stepped back from public engagements on medical advice, though he has continued to carry out many of his duties behind closed doors.Officials have not disclosed what form or stage of cancer he has.On Thursday, he delivered his first public remarks since Kate announced she had become the second senior royal to be diagnosed with cancer, stressing the importance of friendship, “especially in a time of need.”The recorded audio message was heard at a traditional Maundy Thursday service at Worcester Cathedral, in the city of the same name around 130 miles northwest of London.Charles said Jesus set an “example of how we should serve and care for each other” and how “we need and benefit greatly from those who extend the hand of friendship to us, especially in a time of need.”Although he did not address his daughter-in-law’s health directly or name her in his brief personal message, some royal watchers interpreted his words in the context of the ongoing family health crisis.The king’s public relations team also released a new picture of the smiling monarch sitting at a desk in Buckingham Palace’s 18th Century Room, apparently recording his address into a microphone.Charles has spoken of how touched he is by the outpouring of messages and cards from well-wishers from across the United Kingdom and beyond as he undergoes treatment for cancer.In a statement after Kate revealed her diagnosis March 22, he said he had become closer to his daughter-in-law through their shared hospital stays. The king was “so proud of Catherine for her courage in speaking as she did,” it added.Kate said in a video statement that she was undergoing “a course of preventative chemotherapy” on the advice of her medical team.She did not specify what type of cancer she has or at what stage it was found, and Kensington Palace, the couple’s royal household, has not said why the operation was necessary.Inside palace doors, the shock of her diagnosis “was immense,” NBC News royal contributor Katie Nicholl told “TODAY” on Friday.“Kate’s cancer diagnosis was kept was within a very, very, very tight group of people,” Nicholl said. “It was William, it was the king, it was Camilla and of course Kate’s family. But I do know that while Queen Camilla knew, she didn’t even tell her own children.”William, Kate and their children — George, 10, Charlotte, 8, and Louis, 5 — attended the Easter Sunday service last year, but Kate asked for privacy in her personal video message announcing her diagnosis.",0.10212222574570684,Normal,Acid rain
sport,Negative,"['Sacre bleu', 'CAMEMBERT', 'Sementzeff', 'Sementzeff', 'The National Centre for Scientific Research']","Sacre bleu! Camembert and brie 'on the verge of extinction,' French scientists warn",https://www.nbcnews.com/news/world/camembert-brie-disappear-scientists-france-warn-rcna143862,2024-03-29T17:00:00.000Z,"CAMEMBERT, France — On a tiny farm tucked into the lush, green hillside of Normandy, Aude Sementzeff heats raw milk from cows up the hill until it curdles, then scoops it into molds to make a round, pearly white Camembert cheese.For eight years, Sementzeff has been making the earthy, soft cheese in small batches to be sold in Paris stores, continuing a tradition that dates to the 18th century. So ubiquitous is Camembert in France that soldiers in the trenches of World War I ate it as part of their daily rations.“Camembert is there at each step of our history,” Sementzeff, 41, said as she delicately salted each cheese and flipped it to perfect its rind. “So there is a strong link, I think, with French culture.”But now this notoriously pungent delicacy is in trouble, as is brie, another celebrated French cheese enjoyed across the world.The National Centre for Scientific Research, France’s state-run science agency, has warned that Camembert, brie and even blue cheeses “could disappear,” owing to a decline in the strains of fungi that give the beloved cheeses their unique taste, smell, color and texture.“Blue cheeses may be under threat, but the situation is much worse for Camembert, which is already on the verge of extinction,” the research center wrote in a memo in January.While many cheesemakers insist the problem isn’t quite that dire, they acknowledge that producing cheeses like Camembert is getting harder, a consequence in part of past efforts to engineer the perfect block. Scientists refer to fungi’s role in cheesemaking as “delicious rot,” and it’s a critical part of the arduous process of making a Camembert, which includes several weeks of aging. It can be added early on with other enzymes when milk is heated to form curds, or sprayed on the cheese later to help the ripening process and promote the soft, white rind prized by Camembert-lovers.",0.1791544837192639,Scandal,Contamination
entertainment,Neutral,"['the European Broadcasting Union', 'the Occupied Palestinian Territories', 'solidarity', 'Reuters', 'ReduxThe', 'BBC', 'BBC', 'EBU', 'Instagram', 'solidarity', 'Cattermole / Getty Images', 'EBU', 'KAN', 'the Israeli Culture and Sports Ministry', 'NBC News', 'KAN']",Eurovision stars say they can't be silent but reject calls for boycott over Israel,https://www.nbcnews.com/news/world/eurovision-song-contest-israel-hamas-war-gaza-artists-malmo-rcna145584,2024-03-29T14:57:19.958Z,"LONDON — A group of artists set to compete in this year’s Eurovision Song Contest said Friday they “do not feel comfortable being silent” in light of the ongoing Israeli military offensive in the Gaza Strip, but stopped short of heeding growing calls for a boycott of the music competition over Israel’s participation.The joint statement — from the entrants who will represent Denmark, Finland, Ireland, Lithuania, Norway, Portugal, San Marino, Switzerland and the United Kingdom — comes a little more than a month before this year’s edition of the pop extravaganza in May. The competition is being held in the Swedish city of Malmo, which said earlier this month that it was prepared for possible protests.The presence of Israel, which is competing with the song “Hurricane” by Eden Golan, has loomed over the buildup to the competition and fueled calls for the country to be kicked out of the contest. However, the European Broadcasting Union, which runs the event, has allowed Israel to participate after changing the title and lyrics of its entry, which were originally deemed to violate the contest’s rules about remaining nonpolitical.“We want to begin by acknowledging the privilege of taking part in Eurovision. In light of the current situation in the Occupied Palestinian Territories, and particularly in Gaza, and in Israel, we do not feel comfortable being silent,” the artists’ joint statement said. “It is important to us to stand in solidarity with the oppressed and communicate our heartfelt wish for peace, an immediate and lasting ceasefire, and the safe return of all hostages. We stand united against all forms of hate, including antisemitism and islamophobia.”Eden Golan, Israel's representative at the Eurovision Song Contest in Tel Aviv earlier this month.Carlos Garcia Rawlins / Reuters / ReduxThe statement added: “We firmly believe in the unifying power of music, enabling people to transcend differences and foster meaningful conversations and connections. We feel that it is our duty to create and uphold this space, with a strong hope that it will inspire greater compassion and empathy.”The statement came a day after an open letter by a group of LGBTQ+ artists, musicians, writers and activists called on British entrant Olly Alexander to boycott the competition. Alexander has had international success as part of the band Years & Years, and is among the most high-profile acts at this year’s competition. The BBC, the United Kingdom's public broadcaster, which chooses the British entry, distanced itself from the letter. “These are the views of Olly Alexander. He is not speaking for the BBC,” it said in a statement.The group of more than 450 artists and activists under the banner Queers for Palestine had posted the open letter Thursday saying “We ask you to heed the Palestinian call to withdraw from Eurovision.” The group accused the EBU of  “providing cultural cover and endorsement for the catastrophic violence that Israel has unleashed on Palestinians.”Alexander also posted his own response Friday to the Queers for Palestine letter. “As a participant I’ve taken a lot of time to deliberate over what to do and the options available to me. It is my current belief that removing myself from the contest wouldn’t bring us any closer to our shared goal,” he said.Irish entry Bambie Thug, who uses they/them pronouns, added a further statement posted on their Instagram account, “As an Irish person with a shared history of occupation and a queer individual, I cannot and will not remain silent.”Saying they were aware of calls to withdraw from the contest, Bambie Thug said that “stepping back now would mean one less pro-Palestinian voice at the contest. My heart and solidarity has and always will lie with the oppressed, and I remain committed to supporting and using my platform to raise awareness and advocate for change.”Bambie Thug said they ""cannot and will not remain silent.""Gareth Cattermole / Getty Images fileThe EBU said in a statement: “We understand that these artists wish to make their voices heard in a call for peace. All of us working on this year’s Eurovision Song Contest are mindful of the strong feelings and opinions surrounding the current conflict in the Middle East. We have all been impacted by the images, stories and the unquestionable pain suffered by those caught up in this devastating war.”The Israeli broadcaster KAN declined to comment and the Israeli Culture and Sports Ministry did not immediately respond to a request for comment from NBC News on Friday. When announcing the revised Israeli entry earlier this month, a KAN spokesperson cited Israeli President Isaac Herzog’s desire to have the nation compete in Eurovision. “The president emphasized that at this time in particular, when those who hate us seek to push aside and boycott the state of Israel from every stage, Israel must sound its voice with pride and its head high and raise its flag in every world forum, especially this year.""",0.16192708537470124,Normal,Sustainability crisis
politics,Neutral,"['Maundy', 'the Press Association', 'the Easter Mattins Service', 'Royal Maundy', 'the Anglican Church', 'Maundy', 'York Minster', 'Windsor Leadership']",King Charles stresses friendship 'in a time of need' after his and Kate's cancer diagnoses,https://www.nbcnews.com/news/world/king-charles-friendship-easter-kate-cancer-diagnosis-rcna145419,2024-03-28T11:43:52.635Z,"LONDON — King Charles III delivered an Easter message Thursday stressing the importance of friendship, “especially in a time of need” — his first public remarks since Kate, the Princess of Wales, revealed she had become the second senior royal to be diagnosed with cancer.The pre-recorded audio message comes ahead of the king’s attendance at a service on Easter Sunday, in what will be his most significant public appearance since his own cancer diagnosis in February.Charles, 75, was heard at a traditional Maundy Thursday service at Worcester Cathedral, near Birmingham in the West Midlands, some 130 miles northwest of London.He spoke of how Jesus set an “example of how we should serve and care for each other,” and how “we need and benefit greatly from those who extend the hand of friendship to us, especially in a time of need,” according to the Press Association, a British news agency that typically reports royal announcements.Buckingham Palace confirmed Wednesday that the king will attend the Easter Mattins Service at St. George’s Chapel at Windsor Castle — one of the most important spiritual events in the royal calendar. The king did not address his daughter-in-law’s health directly or name her in his brief personal message on Thursday. But royal watchers may interpret his words in the context of the ongoing family health crisis.He also delivered a Bible reading.The king did not appear in person at Thursday’s event — instead Queen Camilla deputized for him. Charles has stepped back from public engagements on medical advice.The king’s public relations team also released a new picture of the monarch sitting at a desk in Buckingham Palace’s 18th Century Room, apparently recording his address into a microphone.Charles has spoken of how touched he is by the outpouring of messages and cards from well-wishers from across the United Kingdom and beyond as he undergoes treatment for cancer, the exact type and stage of which the palace has not disclosed.The king released a statement after Kate revealed her diagnosis last Friday, saying that he had become closer to his daughter-in-law through their shared hospital stays.The king was “so proud of Catherine for her courage in speaking as she did,” the statement said.The Royal Maundy service is part of the king’s role as the head of the Anglican Church. The monarch hands out specially made coins in white and red purses to 75 men and 75 women to reward them for good deeds such as charity work, a reference to the king’s age. Camilla performed that role on Thursday.The event symbolizes the Last Supper, when Jesus washed the feet of disciples the day before Good Friday. The custom dates back to 600 A.D. and the coins have been in use since 1662, when Charles II distributed Maundy money.Charles attended last year’s service at York Minster, following a tradition set by Queen Elizabeth II to hold it in different places across the U.K., not just in London.The king continues to work behind the scenes while receiving treatment for cancer. On Tuesday, he met community and faith leaders from the Windsor Leadership charity at Buckingham Palace, and he continues to hold a weekly audience with Prime Minister Rishi Sunak, albeit on at least one occasion by phone.",0.09073851438789493,Normal,Acid rain
entertainment,Negative,"['the West Point Glee Club', 'the U.S. Military Academy', 'the Greek Communist Party']",Greek police clash with demonstrators protesting concert by U.S. military cadets,https://www.nbcnews.com/news/world/greek-police-clash-demonstrators-protesting-concert-us-military-cadets-rcna145424,2024-03-28T09:14:34.259Z,"Police in Greece clashed late Wednesday with Communist-backed demonstrators who tried to prevent a concert by U.S. military cadets.The violent protest occurred in the central Greek city of Larissa ahead of a concert by members of the West Point Glee Club, a musical group of the U.S. Military Academy which is currently on tour in Greece.Videos and photos shared on social media show police firing tear gas to hold back the demonstrators outside a municipal theater, while officers also clashed with a smaller number of protesters as they entered the building.It was not immediately clear if the concert took place. Authorities and the venue couldn’t be reached for comment.Protest organizers from the Greek Communist Party oppose the presence of U.S. troops in Greece as well as Greek military support for Ukraine and involvement in international maritime security missions in the Red Sea.There were no reports of arrests or injuries.",0.15398471603125163,Scandal,Chemical spill
politics,Negative,"['Kremlin', 'Kremlin', 'Kremlin', 'Federal Security Service', 'FSB', 'ISIS', 'National Security Council', 'Patrushev', 'ISIS', 'Kremlin', 'Mayak Intelligence', 'University College London', 'ISIS', 'Kremlin', 'Crocus', 'Crocus', 'Kremlin', 'Kremlin', 'Investigative Committee']",The Kremlin steps up its efforts to blame Ukraine and the West for the Moscow attack,https://www.nbcnews.com/news/world/kremlin-blame-ukraine-west-moscow-attack-putin-rcna145233,2024-03-27T15:49:10.630Z,"The Kremlin has embraced a challenge in the wake of last week’s deadly terror attack in Moscow: pinning the blame on its enemies.Russian officials have stepped up their efforts to point the finger at Ukraine and the West — a task made more difficult by a lack of publicly presented evidence, denials by Kyiv matched by claims of responsibility by the Islamic State terrorist group, and contradictions in the narrative put forth by the Kremlin’s hawks.Although President Vladimir Putin offered early hints of the claim that Ukraine was in some way involved in the concert hall attack, the Russian leader and his propaganda machine have doubled down on those claims in recent days. The head of the country’s Federal Security Service (FSB) even suggested Tuesday that it was not just Kyiv but the United States and Britain that were behind the attack, which has now claimed at least 140 lives.Ukraine and its allies have dismissed the accusations, while the U.S. has said ISIS was solely responsible for the attack. Four Tajik nationals charged in the attack appeared severely beaten in a Moscow court Sunday, raising questions about how reliable any testimony they give will be. On Monday, Putin admitted for the first time that the attack had been carried out by “radical Islamists,” while again suggesting that Ukraine was involved.The Russian leader has suggested Ukraine was involved without presenting any evidence.Valery Sharifulin / AFP - Getty ImagesFSB chief Alexander Bortnikov took it further Tuesday and said that “primary data” received from the suspects so far points to a “Ukrainian trace” because “the Islamists alone were unable to prepare such an act.” Bortnikov also accused Kyiv of training militants in the Middle East. His words were echoed by another high-ranking official in Putin’s entourage Tuesday: the secretary of Russia’s National Security Council, Nikolai Patrushev. “Of course, Ukraine,” Patrushev said, answering a question from a journalist about whether ISIS or Kyiv was to blame for the attack.But the Kremlin accusations, while increasingly definitive, have lacked any evidence, details or clarity. “Overall, there’s an odd disconnect. The official line, that Ukrainians recruited jihadists, is being parroted, but often with little conviction,” Mark Galeotti, head of the consultancy Mayak Intelligence and an honorary professor at University College London, wrote on X. “Despite talk of consequences, nothing is really emerging, leaving the authorities looking rather weak.”Russian propaganda has dismissed the ISIS claim of responsibility since the night of the attack, when observers feared that the Kremlin might seek to exploit the situation by blaming its enemies in Ukraine and the West.That has been borne out in the days since. On Wednesday, the pro-Kremlin newspaper Argumenty i Fakty splashed across its front page the faces of President Joe Biden, Ukrainian President Volodymyr Zelenskyy and the leaders of Germany, France and the United Kingdom against the burning Crocus concert hall in the background, with a tagline that read: “We know the masterminds of the terrorist attack in Crocus. … Let them tell each other the nonsense about ISIS.”When asked why Zelenskyy, who is Jewish, would be in league with Islamist extremists, Kremlin spokesperson Dmitry Peskov suggested it was not so far-fetched. The Ukrainian leader is a “peculiar” Jewish person who sympathizes with Nazis, Peskov said Tuesday, resorting to the Kremlin’s baseless trope about Zelenskyy and his government. Russia’s Investigative Committee also said Wednesday that it would look into an appeal by several lawmakers to investigate how the U.S. and other Western countries are allegedly organizing, financing and carrying out terror acts against Russia. Pushing that narrative could serve several purposes. It detracts from any meaningful discussion about the failure of Russia’s own security services, which have been busy cracking down on domestic dissent and seemingly missed an attack that was clearly well planned and that the U.S. had warned about weeks in advance.",0.2605686385623418,Scandal,Eco-terrorism
politics,Negative,"['Justice', 'Szentgallay / NurPhoto', 'Facebook', 'YouTube', 'the Public Prosecutor’s Office', 'Facebook', 'Facebook', 'YouTube', 'Partizan', 'EU Council', 'Fidesz', 'Magyar', 'Justice']",Former Hungarian insider releases audio he says is proof of corruption in embattled Orbán government,https://www.nbcnews.com/news/world/hungarian-insider-releases-audio-says-proof-orban-corruption-rcna145070,2024-03-26T13:30:31.110Z,"A former Hungarian government insider turned oppositionist released an audio recording on Tuesday that he says is proof that top officials conspired to cover up corruption, the latest twist in a scandal that’s shaken Prime Minister Viktor Orbán’s domination of the country’s politics.The country’s largest protests in years erupted in early February, when it was revealed that the president had issued a pardon to a man imprisoned for covering up a string of child sexual abuse by the director of a state-run orphanage.Close Orbán allies, including the president and Justice Minister Judit Varga, were forced to resign in the face of public outrage.The latest allegations come from Varga’s ex-husband, Peter Magyar, a former political insider who says he has turned whistleblower to reveal the extent of the scandal.Protesters hold up a sign denouncing Prime Minister Viktor Orbán that reads ''The king is naked'' in Budapest on March 15.Balint Szentgallay / NurPhoto via Getty Images fileHe published a recording on Facebook and YouTube on Tuesday morning featuring Varga’s voice describing how other government officials caused evidence to be removed from court records to cover up their roles in corrupt business dealings.“They suggested to the prosecutors what should be removed,” Varga says in the recording, which Magyar says he made during a conversation in the former couple’s apartment.He gave the tape to the Public Prosecutor’s Office in Budapest Tuesday morning to be used as evidence.In a Facebook post on Tuesday, Varga accused Magyar of domestic violence during their marriage and claimed she had made the statements under duress.“I said what he wanted to hear so I could get away as soon as possible. In a situation like this, any person can say things they don’t mean in a state of intimidation,” Varga wrote. Magyar later denied the claims in a separate post on Facebook.Once a senior but little-known member of Orbán’s political circle, Magyar shot to prominence when he gave an interview in February to popular YouTube channel Partizan, where he accused Orbán’s government of widespread corruption and using smear campaigns to discredit its opponents.Then-Hungarian Minister of Justice Judit Varga speaks at the EU Council headquarter in Brussels in 2023.Thierry Monasse / Getty Images fileOn March 15, he addressed a crowd of tens of thousands in Budapest, where he announced plans to form a new political party to challenge Fidesz’s 14-year grip on power as an alternative to Hungary’s fragmented opposition.The scandal caused an unprecedented political crisis within Orbán’s government, which has led Hungary since 2010. Magyar’s followers hope his position as a former insider can help to disrupt Hungary’s political system, which many see as a deeply entrenched autocracy.The government has dismissed him as an opportunist seeking to forge a new career after his divorce with Varga and his loss of positions in several state companies. But Magyar’s rise has compounded political headaches for Orbán that have included the resignation of members of his government and a painful economic crisis.Magyar has railed against official corruption in Hungary, accusing Orbán of overseeing a nepotistic system of oligarchs that enrich themselves through unfairly awarded government contracts.He has particularly targeted Antal Rogan, a close Orbán ally who is responsible for the government’s communications as well as the country’s secret services. The recording released Tuesday purports to show that Rogan led the effort to alter evidence.Varga served as Hungary’s Justice Minister until February when she resigned amid political scandal after it was revealed that the then-president, Katalin Novák, issued a pardon to a convicted accomplice in a case of child sexual abuse.",0.18548288416005287,Scandal,Illegal dumping
politics,Negative,"['Kremlin', 'Islamic State', 'SHOT', 'Security Council', 'ISIS', 'Patrushev', 'the Federal Security Service', 'FSB', 'FSB', 'Security Council', 'FSB', 'Kremlin']",Kremlin officials claim Ukraine was involved in deadly Moscow concert attack,https://www.nbcnews.com/news/world/kremlin-officials-claim-ukraine-involved-moscow-concert-attack-rcna145074,2024-03-26T13:22:49.844Z,"Two powerful allies of Russian President Vladimir Putin said on Tuesday that they believed Ukraine was involved in the attack on a concert hall just outside Moscow that killed at least 139 people and wounded 180 others.Ukraine has repeatedly denied any involvement and Islamic State, the militant group that once sought control over swathes of Iraq and Syria, claimed responsibility for the attack.News outlet SHOT published a video of an exchange in which a reporter asked Nikolai Patrushev, the secretary of Russia’s Security Council, whether it was “ISIS (Islamic State) or Ukraine?”“Of course Ukraine,” Patrushev replied.Asked about the remark later, he said there were “many” indications of Ukraine’s involvement.Alexander Bortnikov, the director of the Federal Security Service (FSB), said that the gunmen had wanted to reach Ukraine where some people had been ready to spirit the attackers across the border.“In general, we believe they are involved in this,” Bortnikov told reporters about possible Ukrainian involvement, Russian news agencies reported. The FSB had information indicating the involvement of Ukraine in the attack, he said.He offered no evidence for his assertions, but cited the alleged attempted escape of the gunmen towards Ukraine.Russian President Vladimir Putin listens to Security Council secretary Nikolai Patrushev in St. Petersburg on Jan. 26.Gavriil Grigorov / APBut Bortnikov said the FSB had yet to identify who specifically ordered the attack.The remarks by Patrushev and Bortnikov offer an insight into hawkish thinking at the top of the Kremlin elite.Putin said on Saturday in an address to the nation that all those responsible for the concert attack would be punished.On Monday, he said that radical Islamists had carried out the attack, but said the attackers were trying to flee to Ukraine and questioned why Islamists would want to attack Russia at this particular time without being nudged to by others.“We know that the crime was carried out by the hand of radical Islamists with an ideology that the Muslim world has fought for centuries,” Putin said. “We want to know who ordered it.”",0.1804206402768459,Scandal,Eco-terrorism
politics,Neutral,[],King Charles III and Queen Camilla to attend Easter Sunday service in Windsor,https://www.nbcnews.com/news/world/king-charles-iii-queen-camilla-attend-easter-sunday-service-windsor-rcna145071,2024-03-26T13:08:15.795Z,"King Charles III and Queen Camilla will attend an Easter service at the chapel at Windsor Castle on Sunday, Buckingham Palace officials said.The appearance will be the first major event for Charles, 75, since he was diagnosed with cancer in February.Officials said Tuesday that Charles and Camilla will be accompanied by other members of the royal family at the Easter Sunday service at St. George’s Chapel.The king is undergoing regular treatments and has suspended almost all his public engagements since his cancer diagnosis. Officials didn’t disclose what form of cancer Charles has but said it’s not related to his recent treatment for a benign prostate condition.Officials have said the monarch is continuing with state business, including his regular weekly meetings with Prime Minister Rishi Sunak, and won’t be handing over his constitutional role as head of state.It is not immediately known which other members of the royal family will attend Sunday’s service, but Prince William and Kate, the Princess of Wales, who announced last week that she is also undergoing cancer treatment, are not expected to attend.",0.13163980849791546,Normal,Acid rain
politics,Neutral,"['Federal Police', 'the Hungarian Embassy', 'Federal Police', 'The Associated Press', 'The New York Times', 'Federal Police', 'the Federal Police', 'the Federal Police', 'The New York Times', 'Twitter', '”“It']",Brazilian police launch investigation into Bolsonaro's 2-night sleepover at Hungarian embassy,https://www.nbcnews.com/news/world/brazilian-police-launch-investigation-bolsonaros-2-night-sleepover-hun-rcna145056,2024-03-26T10:25:18.748Z,"Brazil’s Federal Police on Monday launched an investigation into former President Jair Bolsonaro’s two-night stay last month at the Hungarian Embassy in Brasilia, amid widespread speculation from his opponents that he may have been attempting to evade arrest.A Federal Police source with knowledge of the investigation confirmed to The Associated Press that it was undertaken in response to a report from The New York Times, which featured security camera video of the Hungarian ambassador welcoming Bolsonaro on Feb. 12 and footage of Bolsonaro from the rest of his stay. Hungary’s Prime Minister Viktor Orbán, one of the leaders of a global far-right movement, is a key international ally of his.The visit took place just days after Federal Police seized Bolsonaro’s Brazilian and Italian passports and raided the homes of his top aides as part of a probe into whether they plotted to ignore 2022 election results and stage an uprising to keep the defeated leader in power.Bolsonaro has denied wrongdoing regarding this investigation, and multiple others targeting him.Were the Federal Police to obtain an arrest warrant for the former president, officers would not have jurisdiction to enter the Hungarian embassy due to diplomatic conventions restricting access.Bolsonaro’s lawyers said in a statement on Monday that there was nothing amiss about his embassy stay.“In the days he was at the Hungarian embassy, by invitation, the former Brazilian president spoke to countless authorities from the friendly country for updates on the political scenarios of both nations,” his lawyers said in the statement. “Any other interpretations ... constitute an evidently fictional work, with no connection to the reality of the facts.”Speaking at his party’s headquarters in Sao Paulo, Bolsonaro told supporters he gets many calls from Orbán to discuss politics.“To this day I have a relationship with some heads of state around the world,” Bolsonaro said. “If I had my passport, I would have traveled to Israel.”Brazil’s foreign ministry said in a short statement that it had summoned Hungary’s ambassador Miklos Halmai to explain why Bolsonaro was his guest at the embassy.Bolsonaro flew to the U.S. in the final days of his term, in December 2022, just days before his supporters stormed the capital in a failed bid to oust President Luiz Inácio Lula da Silva from power. He remained in South Florida for three months.Some of Bolsonaro’s political rivals seized on the news Monday to call for his arrest, alleging that he once again is signaling plans to escape.“These images just reinforce that Bolsonaro is a confessed fugitive,” Alexandre Padilha, Lula’s minister of institutional relations, told reporters in Brasilia, citing Bolsonaro’s stint in the U.S. last year. “But what the courts and the Federal Police will do with these images (published by The New York Times) isn’t for me to say.”Augusto de Arruda Botelho, a criminal lawyer who has been an outspoken critic of the former president, wrote on X, formerly Twitter, that “Bolsonaro’s act of hiding in the embassy is a classic motive for decreeing preventive detention.”“It is one of those situations used as an example in books and classrooms,” he added.",0.11218439111207545,Normal,Wildlife trafficking
